Date,Year,Time,Teams,Venue,Match Type,Result
April 17,2010,4:00 PM IST,Rajasthan Royals Vs Kolkata Knight Riders,Eden Gardens Kolkata,League,Kolkata Knight Riders Won by 8 Wicket(s)
April 17,2010,8:00 PM IST,Mumbai Indians Vs Royal Challengers Bangalore,M Chinnaswamy Stadium Bangalore,League,Mumbai Indians Won by 57 Run(s)
April 18,2010,4:00 PM IST,Kings XI Punjab Vs Chennai Super Kings,Himachal Pradesh Cricket Association Stadium Dharamsala,League,Chennai Super Kings Won by 6 Wicket(s)
April 18,2010,8:00 PM IST,Deccan Chargers Vs Delhi Capitals,Feroz Shah Kotla Delhi,League,Deccan Chargers Won by 11 Run(s)
April 19,2010,8:00 PM IST,Mumbai Indians Vs Kolkata Knight Riders,Eden Gardens Kolkata,League,Kolkata Knight Riders Won by 9 Wicket(s)
April 21,2010,8:00 PM IST,Mumbai Indians Vs Royal Challengers Bangalore,Dr DY Patil Sports Academy Mumbai,Qualifier,Mumbai Indians Won by 35 Run(s)
April 22,2010,8:00 PM IST,Chennai Super Kings Vs Deccan Chargers,Dr DY Patil Sports Academy Mumbai,Qualifier,Chennai Super Kings Won by 38 Run(s)
April 24,2010,8:00 PM IST,Deccan Chargers Vs Royal Challengers Bangalore,Dr DY Patil Sports Academy Mumbai,Play-off,Royal Challengers Bangalore Won by 9 Wicket(s)
April 25,2010,8:00 PM IST,Chennai Super Kings Vs Mumbai Indians,Dr DY Patil Sports Academy Mumbai,Final,Chennai Super Kings Won by 22 Run(s)
Winner of season: Chennai Super Kings
2010
