Date,Time,Teams,Venue,Match Type,Result
May 7,8:00 PM,Delhi Capitals Vs Kolkata Knight Riders,Feroz Shah Kotla, Delhi,League,Kolkata Knight Riders Won by 6 Wicket(s)
May 8,4:00 PM,Kings XI Punjab Vs Deccan Chargers,Rajiv Gandhi International Stadium, Uppal, Hyderabad,League,Kings XI Punjab Won by 25 Run(s)
May 8,8:00 PM,Pune Warriors India Vs Rajasthan Royals,Subrata Roy Sahara Stadium, Pune,League,Rajasthan Royals Won by 7 Wicket(s)
May 9,8:00 PM,Mumbai Indians Vs Royal Challengers Bangalore,Wankhede Stadium, Mumbai,League,Royal Challengers Bangalore Won by 9 Wicket(s)
May 10,4:00 PM,Deccan Chargers Vs Delhi Capitals,Rajiv Gandhi International Stadium, Uppal, Hyderabad,League,Delhi Capitals Won by 9 Wicket(s)
May 10,8:00 PM,Rajasthan Royals Vs Chennai Super Kings,Sawai Mansingh Stadium, Jaipur,League,Chennai Super Kings Won by 4 Wicket(s)
May 11,8:00 PM,Royal Challengers Bangalore Vs Pune Warriors India,Subrata Roy Sahara Stadium, Pune,League,Royal Challengers Bangalore Won by 35 Run(s)
May 12,4:00 PM,Mumbai Indians Vs Kolkata Knight Riders,Eden Gardens, Kolkata,League,Mumbai Indians Won by 27 Run(s)
May 12,8:00 PM,Delhi Capitals Vs Chennai Super Kings,MA Chidambaram Stadium, Chepauk, Chennai,League,Chennai Super Kings Won by 9 Wicket(s)
May 13,4:00 PM,Rajasthan Royals Vs Pune Warriors India,Sawai Mansingh Stadium, Jaipur,League,Rajasthan Royals Won by 45 Run(s)
May 13,8:00 PM,Deccan Chargers Vs Kings XI Punjab,Punjab Cricket Association Stadium, Mohali, Chandigarh,League,Kings XI Punjab Won by 4 Wicket(s)
May 14,4:00 PM,Royal Challengers Bangalore Vs Mumbai Indians,M Chinnaswamy Stadium, Bangalore,League,Mumbai Indians Won by 5 Wicket(s)
May 14,8:00 PM,Kolkata Knight Riders Vs Chennai Super Kings,Eden Gardens, Kolkata,League,Chennai Super Kings Won by 5 Wicket(s)
May 15,8:00 PM,Kings XI Punjab Vs Delhi Capitals,Feroz Shah Kotla, Delhi,League,Delhi Capitals Won by 5 Wicket(s)
May 16,8:00 PM,Kolkata Knight Riders Vs Mumbai Indians,Wankhede Stadium, Mumbai,League,Kolkata Knight Riders Won by 32 Run(s)
May 17,4:00 PM,Chennai Super Kings Vs Kings XI Punjab,Himachal Pradesh Cricket Association Stadium, Dharamsala,League,Kings XI Punjab Won by 6 Wicket(s)
May 17,8:00 PM,Royal Challengers Bangalore Vs Delhi Capitals,Feroz Shah Kotla, Delhi,League,Royal Challengers Bangalore Won by 21 Run(s)
May 18,8:00 PM,Rajasthan Royals Vs Deccan Chargers,Rajiv Gandhi International Stadium, Uppal, Hyderabad,League,Deccan Chargers Won by 5 Wicket(s)
May 19,4:00 PM,Kings XI Punjab Vs Delhi Capitals,Himachal Pradesh Cricket Association Stadium, Dharamsala,League,Delhi Capitals Won by 6 Wicket(s)
May 19,8:00 PM,Kolkata Knight Riders Vs Pune Warriors India,Subrata Roy Sahara Stadium, Pune,League,Kolkata Knight Riders Won by 34 Run(s)
May 20,4:00 PM,Deccan Chargers Vs Royal Challengers Bangalore,Rajiv Gandhi International Stadium, Uppal, Hyderabad,League,Deccan Chargers Won by 9 Run(s)
May 20,8:00 PM,Rajasthan Royals Vs Mumbai Indians,Sawai Mansingh Stadium, Jaipur,League,Mumbai Indians Won by 10 Wicket(s)
May 22,8:00 PM,Kolkata Knight Riders Vs Delhi Capitals,Subrata Roy Sahara Stadium, Pune,Qualifier,Kolkata Knight Riders Won by 18 Run(s)
May 23,8:00 PM,Chennai Super Kings Vs Mumbai Indians,M Chinnaswamy Stadium, Bangalore,Eliminator,Chennai Super Kings Won by 38 Run(s)
May 25,8:00 PM,Chennai Super Kings Vs Delhi Capitals,MA Chidambaram Stadium, Chepauk, Chennai,Qualifier,Chennai Super Kings Won by 86 Run(s)
May 27,8:00 PM,Chennai Super Kings Vs Kolkata Knight Riders,MA Chidambaram Stadium, Chepauk, Chennai,Final,Kolkata Knight Riders Won by 5 Wicket(s)
2012
